Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
skincare,SKU60,28.217560729193274,1,350,9866.465457979695,Male,26,1,17,6,Carrier B,2.303847120182919,Supplier 1,Bangalore,30,104,30,30.155175959956047,Pending,4.939255288620948,Air,Route C,197.71828557038526
haircare,SKU25,53.46722312692452,68,37,9866.465457979695,Unknown,60,9,1,3,Carrier A,2.803332070304365,Supplier 2,Bangalore,29,385,1,99.46610860359912,Fail,4.939255288620948,Rail,Route C,668.9943962901791
skincare,SKU43,5.961422285200783,47,727,1061.618523013288,Non-binary,100,7,1,2,Carrier A,3.152277012172635,Supplier 1,Chennai,11,104,30,83.74891127364222,Pending,2.4203034365611362,Air,Route A,103.91624796070496
haircare,SKU96,1.6999760138659377,3,312,8441.455855976154,Unknown,19,29,96,10,Carrier B,3.10990886922474,Supplier 4,Kolkata,12,985,1,48.59469185918712,Pending,3.2654979805590223,Rail,Route A,103.91624796070496
skincare,SKU70,99.1713286386242,1,621,6272.80406546825,Female,34,25,60,7,Carrier A,5.923735404404594,Supplier 1,Chennai,30,188,30,1.0850685695870688,Pending,4.939255288620948,Sea,Route A,103.91624796070496
skincare,SKU74,1.6999760138659377,19,996,4852.93234141762,Female,49,1,22,4,Carrier A,2.1789733686063704,Supplier 3,Mumbai,3,104,2,1.0850685695870688,Pending,3.526006551965816,Sea,Route A,103.91624796070496
haircare,SKU33,24.933891351825125,1,488,4883.594096543442,Male,63,11,55,10,Carrier C,3.3586572185930743,Supplier 1,Kolkata,30,282,14,16.11327819547622,Pending,0.09982543149848189,Road,Route C,304.623032416255
skincare,SKU22,99.1713286386242,51,8,9866.465457979695,Male,48,18,29,4,Carrier C,1.6940561604285735,Supplier 2,Kolkata,30,386,3,27.17871146694828,Pending,2.690029436377144,Rail,Route B,331.5289275624427
skincare,SKU46,80.75221536879783,10,597,3343.9968983735025,Female,100,1,1,8,Carrier C,5.341295995258154,Supplier 5,Kolkata,13,899,14,1.0850685695870688,Fail,3.1216156432601285,Rail,Route C,679.9339809002283
haircare,SKU25,22.336704675314788,67,79,9866.465457979695,Male,96,17,26,2,Carrier B,6.412349658071877,Supplier 4,Kolkata,30,656,1,11.841257871748473,Fail,1.545492197001127,Road,Route C,480.9706649496962
haircare,SKU88,1.6999760138659377,16,144,1061.618523013288,Male,12,1,18,10,Carrier B,2.3212888543321935,Supplier 5,Delhi,30,476,2,61.79331032332671,Pending,3.6474368177648877,Rail,Route B,297.6268753233118
cosmetics,SKU10,18.766240716182406,12,8,8926.120092880456,Female,100,20,15,10,Carrier B,1.0134865660958965,Supplier 3,Chennai,23,924,18,99.46610860359912,Pending,3.2605301073736586,Rail,Route B,307.7182840510842
skincare,SKU60,99.1713286386242,51,327,9866.465457979695,Non-binary,77,15,30,1,Carrier A,7.072572936862052,Supplier 2,Chennai,30,104,15,54.993934574369035,Pending,4.696826783937735,Sea,Route C,605.147202782239
haircare,SKU70,99.1713286386242,68,18,9679.676841743722,Male,41,11,1,1,Carrier B,5.330502842647256,Supplier 1,Kolkata,27,358,17,1.0850685695870688,Pending,0.0186075676310149,Rail,Route A,180.5330493291832
skincare,SKU34,76.14791151839007,15,588,6484.03011065065,Non-binary,57,1,58,7,Carrier B,8.34792643514514,Supplier 2,Kolkata,30,104,21,28.614039077701072,Pass,3.327902550174797,Rail,Route B,794.0567931236396
haircare,SKU20,73.77621533469677,100,729,9185.75483276334,Unknown,74,30,16,10,Carrier C,1.0134865660958965,Supplier 1,Kolkata,30,104,1,99.46610860359912,Pending,0.0186075676310149,Rail,Route B,578.5919570992132
cosmetics,SKU45,27.246581175839843,36,669,1061.618523013288,Female,76,1,96,9,Carrier A,2.1452861082383308,Supplier 3,Mumbai,22,842,5,90.89965609398836,Pending,4.77497507049595,Rail,Route B,104.41812505341173
haircare,SKU44,1.6999760138659377,94,96,1831.371597916997,Female,40,15,45,10,Carrier C,4.604850410084355,Supplier 1,Kolkata,30,104,30,99.46610860359912,Pending,2.470781017923491,Rail,Route C,893.3782983368934
skincare,SKU10,65.99684274107207,1,8,8680.275773032765,Male,100,1,96,7,Carrier C,9.92981624527726,Supplier 1,Chennai,27,806,1,53.73319015162781,Fail,3.8735100577747255,Road,Route A,249.19256164788877
skincare,SKU15,99.1713286386242,75,53,5809.660392025148,Female,0,26,19,9,Carrier B,9.684760618685333,Supplier 2,Kolkata,30,325,28,12.494568948679465,Pass,4.939255288620948,Road,Route B,997.4134501331946
cosmetics,SKU75,60.23758841729233,7,885,5959.753974284809,Male,3,17,42,10,Carrier B,7.049333812204633,Supplier 1,Chennai,30,920,5,16.200996350986394,Pending,1.472721539271794,Road,Route C,103.91624796070496
haircare,SKU81,99.1713286386242,13,638,8008.996714985447,Female,31,1,49,4,Carrier A,2.252897100999606,Supplier 3,Kolkata,11,645,12,59.88939106542303,Pending,1.8602719705253385,Air,Route C,103.91624796070496
haircare,SKU42,29.99123063582909,40,460,4182.594526644694,Male,30,15,12,8,Carrier C,3.1964681977558502,Supplier 1,Chennai,30,571,20,21.683213335682062,Pending,3.1352403239555637,Rail,Route A,103.91624796070496
haircare,SKU1,70.79958860875594,100,996,5485.449636741598,Female,83,1,19,10,Carrier A,3.1954352839222837,Supplier 3,Chennai,30,701,1,99.46610860359912,Pending,1.9746263731719846,Rail,Route C,516.0256742279572
haircare,SKU78,61.74400039161698,7,336,9866.465457979695,Male,0,11,12,2,Carrier C,6.157999522236514,Supplier 1,Bangalore,30,104,30,15.473345838122343,Pass,4.939255288620948,Rail,Route A,833.9380483113428
haircare,SKU61,1.6999760138659377,60,80,7337.990116742059,Unknown,0,1,69,1,Carrier B,2.7813481729933693,Supplier 2,Kolkata,11,104,8,96.62353388028507,Pass,2.7029053053024197,Rail,Route C,405.6888265847458
haircare,SKU67,13.621741949380189,96,670,3821.695671412955,Non-binary,85,30,65,8,Carrier C,9.92981624527726,Supplier 4,Chennai,1,926,23,1.0850685695870688,Pending,4.939255288620948,Air,Route A,103.91624796070496
haircare,SKU0,68.37773872147456,44,8,2996.0424239189274,Female,64,3,1,2,Carrier A,1.0134865660958965,Supplier 1,Chennai,12,438,5,81.47597510703324,Fail,3.9153710023008212,Road,Route C,840.5852883854919
haircare,SKU91,63.33368701087416,48,996,9866.465457979695,Female,52,22,32,7,Carrier B,3.7480865645159644,Supplier 2,Chennai,30,104,1,69.87257454627186,Pass,4.128071974572814,Air,Route A,321.4465058925765
cosmetics,SKU89,23.942001190003303,51,996,7768.161134125074,Unknown,63,27,81,1,Carrier C,5.6296517057111615,Supplier 2,Mumbai,17,596,14,70.46275068953456,Pending,3.1937061136598044,Sea,Route A,344.6386661205475
haircare,SKU16,99.1713286386242,38,440,9446.459489132332,Male,9,1,41,6,Carrier B,3.6405320771244183,Supplier 1,Chennai,21,161,1,11.812497753844902,Pending,3.1777014957184226,Air,Route C,612.0860781567172
cosmetics,SKU46,5.8700140835576455,23,469,9866.465457979695,Non-binary,66,12,44,2,Carrier A,9.310737706948288,Supplier 3,Delhi,30,539,11,42.753119836724224,Pending,2.5290281122438856,Air,Route A,103.91624796070496
haircare,SKU46,62.182612747014204,1,563,9866.465457979695,Non-binary,47,30,69,5,Carrier A,1.6552010108835666,Supplier 1,Kolkata,27,759,25,8.711741482630762,Pending,0.0186075676310149,Rail,Route B,107.21180449545639
haircare,SKU15,46.28898027084996,100,472,6079.739847644118,Male,100,27,1,7,Carrier A,9.92981624527726,Supplier 3,Bangalore,13,452,9,63.957846396662646,Pending,3.7460363585013576,Air,Route C,103.91624796070496
haircare,SKU61,62.815661640523885,7,996,1061.618523013288,Female,14,5,96,10,Carrier B,1.0134865660958965,Supplier 3,Chennai,12,782,4,99.46610860359912,Pending,3.319650902335248,Air,Route C,189.06566955432106
haircare,SKU85,99.1713286386242,21,377,6870.667890477139,Male,76,1,42,7,Carrier A,9.92981624527726,Supplier 4,Chennai,22,700,1,55.18909296295769,Pending,1.9881524444167373,Rail,Route A,103.91624796070496
skincare,SKU81,37.78884068025681,12,10,8059.669936523169,Non-binary,0,12,53,5,Carrier C,9.719497374431374,Supplier 1,Chennai,27,385,12,1.0850685695870688,Pass,3.796155546941005,Rail,Route B,103.91624796070496
haircare,SKU3,70.26720968862914,100,664,4865.797971604763,Male,100,1,18,10,Carrier C,9.161108860863317,Supplier 1,Kolkata,30,104,3,23.202289279953344,Pending,0.08355958619927839,Rail,Route C,567.6785818599346
haircare,SKU10,59.210901483192885,37,519,3323.2502948018964,Female,28,26,1,3,Carrier A,2.5554481936750415,Supplier 3,Chennai,9,129,28,41.531935784735225,Pass,4.939255288620948,Rail,Route A,809.205819731136
haircare,SKU35,55.126853569779385,65,744,2891.730412494433,Male,41,2,37,10,Carrier C,8.799988034160013,Supplier 1,Chennai,25,104,30,99.46610860359912,Pending,3.998880778538606,Air,Route C,103.91624796070496
haircare,SKU68,44.03594256448973,98,470,6022.738711474443,Non-binary,5,1,30,9,Carrier B,1.0134865660958965,Supplier 1,Chennai,30,398,1,41.718012134748676,Fail,4.939255288620948,Rail,Route B,997.4134501331946
haircare,SKU70,57.437556390812546,49,74,1061.618523013288,Male,57,8,1,1,Carrier B,8.548089764493593,Supplier 4,Bangalore,8,886,2,54.80881082721797,Pending,4.939255288620948,Rail,Route B,523.0908047587986
skincare,SKU92,34.1206867912073,77,996,6895.955344723252,Male,100,22,38,8,Carrier C,1.0134865660958965,Supplier 1,Delhi,30,104,12,62.88272937446706,Pending,0.0186075676310149,Air,Route A,103.91624796070496
skincare,SKU2,1.6999760138659377,91,146,9866.465457979695,Male,88,19,65,10,Carrier B,5.265919682892784,Supplier 1,Bangalore,30,507,8,45.100237619270985,Pending,0.630926949594609,Air,Route A,103.91624796070496
haircare,SKU79,99.1713286386242,93,463,9866.465457979695,Male,53,9,40,1,Carrier B,3.6865322985141953,Supplier 1,Mumbai,28,104,30,99.46610860359912,Pending,3.6430045424805524,Road,Route A,103.91624796070496
haircare,SKU91,99.1713286386242,79,996,7702.589862785451,Male,100,1,96,1,Carrier A,1.2358706313517835,Supplier 2,Chennai,30,708,5,99.46610860359912,Pending,4.939255288620948,Sea,Route A,583.581671714736
haircare,SKU23,35.9921192317382,88,583,6625.907286851919,Female,77,27,20,10,Carrier B,5.209434272728998,Supplier 3,Kolkata,30,306,7,99.46610860359912,Pending,4.939255288620948,Rail,Route C,605.719712355539
skincare,SKU97,28.776946410891732,27,207,7729.014350714795,Female,0,29,1,4,Carrier C,5.792332888877583,Supplier 3,Mumbai,30,274,23,93.00670147091657,Fail,3.0068326646824213,Rail,Route C,645.7008867334123
haircare,SKU46,99.1713286386242,8,436,4635.000538697898,Male,38,1,51,9,Carrier C,3.320014173795996,Supplier 5,Chennai,21,177,6,42.83964447176302,Fail,4.939255288620948,Rail,Route B,733.8470131743311
haircare,SKU24,36.96381773828955,11,996,5080.920332157291,Male,22,12,64,4,Carrier C,1.7912891298869908,Supplier 5,Delhi,30,509,6,99.46610860359912,Fail,4.250000075556378,Air,Route A,983.874765447212
haircare,SKU97,19.945556891588623,49,323,8120.183344679536,Female,14,21,1,1,Carrier C,5.594731424593441,Supplier 2,Bangalore,21,759,30,99.46610860359912,Pending,2.9269305129924676,Road,Route A,103.91624796070496
skincare,SKU83,84.47833947550929,52,708,7808.033323138554,Unknown,45,30,16,10,Carrier B,2.3889540483166227,Supplier 1,Mumbai,30,217,16,1.0850685695870688,Pending,3.8082549808850965,Air,Route C,103.91624796070496
skincare,SKU55,37.0150301687454,100,996,4440.234578730069,Unknown,51,18,32,4,Carrier B,2.172270562321305,Supplier 1,Chennai,30,104,14,80.92197171344922,Pending,4.215585982737338,Rail,Route B,271.1326299494096
skincare,SKU67,1.6999760138659377,100,94,5397.476441590509,Female,32,1,1,7,Carrier B,2.08358470986511,Supplier 3,Kolkata,22,104,10,62.60948891937453,Pending,4.939255288620948,Rail,Route B,230.1005798133706
skincare,SKU64,57.95271688302053,1,350,9839.246387822774,Female,48,1,65,4,Carrier B,6.132256407576444,Supplier 5,Mumbai,30,258,20,66.58511301474536,Fail,3.3479456556804075,Road,Route C,494.40103815042175
haircare,SKU49,20.658639321810718,19,83,2806.184988824805,Non-binary,29,29,7,3,Carrier A,2.39911079491372,Supplier 2,Delhi,10,973,16,98.34191908070491,Pass,4.939255288620948,Air,Route B,103.91624796070496
cosmetics,SKU78,1.6999760138659377,63,8,2701.06255405134,Male,88,30,19,10,Carrier C,9.92981624527726,Supplier 3,Kolkata,13,936,1,2.352970241532816,Pass,3.839503332252947,Rail,Route A,132.74472238488386
skincare,SKU7,23.20358904261046,10,8,1061.618523013288,Male,69,1,11,5,Carrier B,5.023770884341105,Supplier 3,Chennai,25,104,23,99.46610860359912,Pending,4.256671620618141,Rail,Route A,103.91624796070496
haircare,SKU20,61.9958982649171,100,996,4110.562439683358,Non-binary,12,24,14,9,Carrier C,2.784395915271409,Supplier 1,Delhi,27,554,5,1.0850685695870688,Fail,1.2103302605347555,Rail,Route A,103.91624796070496
skincare,SKU12,70.42251815891301,46,536,6254.050447324723,Male,24,11,25,1,Carrier B,9.729983101929566,Supplier 3,Chennai,9,982,27,64.7578781209946,Pending,3.481100157555894,Road,Route A,502.55449314784266
haircare,SKU51,52.74385813669247,2,778,8416.985401075919,Female,0,1,1,3,Carrier B,3.1507621197699986,Supplier 2,Kolkata,22,830,30,33.99343469740161,Fail,0.0186075676310149,Rail,Route A,328.4271592856033
haircare,SKU7,24.76734624851741,1,410,9866.465457979695,Male,100,22,1,1,Carrier B,4.770093388272917,Supplier 2,Chennai,27,350,14,1.0850685695870688,Pending,3.316618813221118,Rail,Route B,806.0549632121795
cosmetics,SKU66,60.81051666227029,94,215,2099.182133186575,Male,47,19,58,10,Carrier B,1.0134865660958965,Supplier 4,Delhi,25,771,1,59.30916329166256,Pending,2.379127840376542,Rail,Route C,454.27187992058356
haircare,SKU26,99.1713286386242,1,8,1061.618523013288,Male,100,16,1,10,Carrier A,9.92981624527726,Supplier 2,Bangalore,30,104,2,99.46610860359912,Fail,4.939255288620948,Air,Route A,114.57805823990333
haircare,SKU96,54.4940833155199,33,673,9866.465457979695,Female,63,16,1,10,Carrier B,4.089242632146212,Supplier 4,Mumbai,29,695,1,1.0850685695870688,Fail,2.942905661123846,Rail,Route A,543.9049780133107
haircare,SKU26,27.538651854839763,20,478,9866.465457979695,Male,71,21,47,1,Carrier B,2.86904492784955,Supplier 1,Chennai,30,599,12,32.391653456085336,Fail,0.9821015420902606,Air,Route A,103.91624796070496
skincare,SKU18,8.83276098284692,36,132,7593.422446452542,Unknown,0,3,56,4,Carrier B,4.496181591465437,Supplier 2,Chennai,16,743,10,2.209323388912548,Fail,2.7065326687581672,Rail,Route A,850.7137278749888
skincare,SKU48,36.67133409130693,37,996,1061.618523013288,Unknown,73,16,67,9,Carrier A,3.0862405609681858,Supplier 1,Chennai,9,650,4,82.54727649141148,Pending,4.939255288620948,Road,Route C,997.4134501331946
skincare,SKU34,21.012421132585125,100,996,4398.689168895595,Unknown,0,30,12,3,Carrier B,1.0134865660958965,Supplier 1,Kolkata,7,415,30,56.33492588496883,Pending,1.2981823252261304,Sea,Route A,103.91624796070496
